iter	Passed	Remaining
0	62	62110
1	62	31243
2	63	20962
3	63	15819
4	64	12736
5	64	10678
6	65	9246
7	65	8152
8	66	7289
9	66	6596
10	67	6030
11	67	5558
12	67	5158
13	68	4816
14	68	4516
15	69	4259
16	69	4030
17	70	3827
18	70	3644
19	71	3480
20	71	3331
21	71	3196
22	72	3073
23	72	2959
24	73	2856
25	73	2759
26	74	2670
27	74	2587
28	74	2509
29	75	2437
30	75	2369
31	76	2306
32	76	2246
33	77	2190
34	77	2137
35	77	2087
36	78	2040
37	78	1995
38	79	1952
39	79	1912
40	81	1899
41	81	1865
42	82	1833
43	82	1801
44	83	1771
45	84	1742
46	84	1714
47	85	1688
48	85	1663
49	86	1638
50	86	1615
51	87	1592
52	87	1571
53	88	1550
54	89	1530
55	89	1510
56	90	1491
57	90	1471
58	91	1451
59	91	1432
60	91	1414
61	92	1396
62	92	1379
63	93	1362
64	93	1346
65	94	1331
66	94	1315
67	94	1296
68	95	1282
69	95	1268
70	95	1254
71	96	1241
72	96	1228
73	97	1215
74	97	1203
75	97	1191
76	98	1179
77	98	1168
78	107	1248
79	107	1237
80	108	1227
81	108	1219
82	109	1208
83	109	1197
84	110	1184
85	110	1173
86	110	1161
87	111	1150
88	111	1141
89	111	1131
90	112	1122
91	112	1113
92	113	1104
93	113	1095
94	114	1086
95	114	1078
96	114	1069
97	115	1067
98	120	1099
99	121	1090
100	121	1082
101	121	1071
102	122	1063
103	123	1064
104	124	1058
105	124	1051
106	125	1043
107	125	1036
108	125	1028
109	126	1022
110	126	1016
111	127	1010
112	128	1004
113	128	998
114	129	993
115	129	987
116	130	981
117	130	976
118	131	969
119	131	964
120	132	959
121	132	954
122	132	946
123	133	941
124	133	936
125	134	932
126	134	927
127	135	921
128	135	916
129	136	913
130	137	908
131	137	904
132	138	900
133	138	895
134	139	890
135	139	886
136	140	882
137	140	877
138	141	873
139	141	871
140	142	869
141	143	865
142	143	861
143	144	858
144	145	855
145	145	851
146	146	847
147	146	844
148	147	842
149	148	839
150	148	835
151	149	831
152	149	828
153	150	825
154	150	821
155	151	820
156	152	817
157	152	813
158	153	809
159	153	805
160	153	801
161	154	798
162	155	796
163	157	802
164	157	799
165	158	795
166	159	793
167	159	790
168	160	787
169	160	784
170	161	781
171	161	778
172	162	774
173	162	771
174	162	768
175	163	764
176	163	761
177	164	758
178	164	754
179	164	751
180	165	747
181	165	744
182	166	741
183	166	737
184	166	734
185	167	731
186	167	728
187	167	725
188	168	722
189	168	720
190	169	717
191	169	715
192	170	712
193	170	710
194	171	707
195	171	704
196	172	701
197	172	699
198	173	696
199	173	693
200	173	691
201	174	689
202	175	687
203	175	685
204	176	683
205	177	683
206	177	681
207	178	678
208	179	677
209	179	675
210	180	673
211	180	670
212	180	668
213	181	666
214	181	664
215	182	661
216	182	659
217	183	657
218	183	655
219	184	653
220	184	651
221	185	649
222	186	648
223	186	646
224	187	645
225	187	643
226	188	641
227	188	639
228	189	638
229	190	636
230	190	635
231	191	633
232	191	631
233	192	630
234	193	628
235	193	626
236	194	624
237	194	622
238	194	620
239	195	618
240	195	616
241	196	615
242	196	613
243	197	611
244	197	609
245	198	607
246	198	605
247	199	604
248	199	602
249	200	600
250	200	598
251	201	597
252	201	595
253	202	593
254	202	591
255	203	590
256	203	588
257	204	586
258	204	585
259	205	583
260	205	581
261	206	580
262	206	579
263	207	577
264	207	575
265	207	573
266	208	572
267	208	570
268	209	568
269	209	567
270	210	565
271	210	564
272	211	562
273	211	561
274	212	559
275	212	558
276	213	556
277	213	555
278	214	553
279	214	552
280	215	551
281	215	549
282	216	547
283	216	546
284	217	545
285	217	543
286	218	541
287	218	540
288	219	538
289	219	537
290	219	535
291	220	534
292	220	533
293	221	531
294	221	530
295	222	528
296	222	527
297	223	525
298	223	524
299	224	523
300	224	521
301	225	520
302	225	518
303	226	517
304	226	515
305	226	514
306	227	513
307	227	511
308	228	510
309	228	509
310	229	507
311	229	506
312	230	505
313	230	503
314	231	502
315	231	501
316	232	500
317	232	499
318	233	497
319	233	496
320	234	495
321	234	493
322	234	492
323	235	491
324	235	489
325	236	488
326	236	487
327	237	485
328	237	484
329	238	483
330	238	482
331	238	480
332	239	479
333	239	478
334	240	477
335	240	475
336	241	474
337	241	473
338	242	472
339	242	470
340	242	469
341	243	468
342	243	466
343	244	465
344	244	464
345	245	463
346	245	462
347	245	460
348	246	459
349	246	458
350	247	457
351	247	456
352	248	455
353	248	453
354	249	452
355	249	451
356	249	450
357	250	449
358	250	447
359	251	446
360	251	445
361	252	444
362	252	443
363	252	442
364	253	440
365	253	439
366	254	438
367	254	437
368	255	436
369	255	435
370	256	434
371	256	432
372	256	431
373	257	430
374	257	429
375	258	428
376	258	427
377	259	426
378	259	425
379	259	423
380	260	423
381	260	422
382	261	420
383	261	419
384	262	419
385	263	418
386	263	417
387	264	416
388	264	415
389	265	414
390	265	413
391	266	412
392	266	411
393	266	410
394	267	409
395	267	408
396	268	407
397	268	406
398	269	405
399	269	404
400	269	403
401	270	402
402	270	401
403	271	400
404	271	399
405	272	398
406	272	397
407	273	396
408	273	395
409	274	394
410	274	393
411	275	392
412	275	391
413	275	390
414	276	389
415	276	388
416	277	387
417	277	386
418	278	385
419	278	384
420	279	383
421	279	382
422	280	382
423	280	381
424	280	380
425	281	379
426	281	378
427	282	377
428	282	376
429	283	375
430	283	374
431	284	373
432	284	372
433	284	371
434	285	370
435	285	369
436	286	368
437	286	367
438	287	366
439	287	365
440	288	365
441	288	364
442	288	363
443	289	362
444	289	361
445	290	360
446	290	359
447	291	358
448	291	357
449	291	356
450	292	355
451	292	354
452	293	353
453	293	352
454	294	352
455	294	351
456	295	350
457	295	349
458	296	348
459	296	348
460	296	347
461	297	346
462	297	345
463	298	344
464	298	343
465	299	342
466	299	341
467	300	341
468	300	340
469	300	339
470	301	338
471	301	337
472	302	336
473	302	335
474	303	335
475	304	334
476	304	333
477	305	333
478	305	332
479	305	331
480	306	330
481	306	329
482	307	328
483	307	328
484	308	327
485	308	326
486	309	325
487	309	324
488	309	323
489	310	323
490	311	322
491	311	321
492	312	320
493	312	320
494	313	319
495	313	318
496	313	317
497	314	316
498	314	315
499	315	315
500	315	314
501	315	313
502	316	312
503	316	311
504	317	310
505	317	310
506	318	309
507	318	308
508	318	307
509	319	306
510	319	306
511	320	305
512	320	304
513	321	303
514	321	302
515	321	302
516	322	301
517	322	300
518	323	299
519	323	298
520	324	298
521	324	297
522	325	296
523	325	295
524	326	295
525	326	294
526	327	293
527	327	293
528	328	292
529	328	291
530	328	290
531	329	289
532	329	288
533	330	288
534	330	287
535	331	286
536	331	285
537	331	285
538	332	284
539	332	283
540	333	282
541	333	281
542	333	281
543	334	280
544	334	279
545	335	278
546	335	277
547	336	277
548	336	276
549	336	275
550	337	274
551	337	274
552	338	273
553	338	272
554	339	271
555	339	271
556	339	270
557	340	269
558	340	268
559	341	268
560	341	267
561	342	266
562	342	266
563	343	265
564	343	264
565	344	263
566	344	263
567	344	262
568	345	261
569	345	260
570	346	260
571	346	259
572	347	258
573	347	257
574	347	257
575	348	256
576	348	255
577	349	254
578	349	254
579	350	253
580	350	252
581	350	252
582	351	251
583	351	250
584	352	249
585	352	249
586	353	248
587	353	247
588	354	247
589	354	246
590	355	245
591	355	245
592	355	244
593	356	243
594	356	242
595	357	242
596	357	241
597	358	240
598	358	240
599	359	239
600	359	238
601	359	237
602	360	237
603	360	236
604	361	235
605	361	235
606	361	234
607	362	233
608	362	232
609	363	232
610	363	231
611	363	230
612	364	229
613	364	229
614	365	228
615	365	227
616	365	227
617	366	226
618	366	225
619	367	225
620	367	224
621	368	223
622	368	223
623	369	222
624	369	221
625	370	221
626	370	220
627	370	219
628	371	218
629	371	218
630	372	217
631	372	216
632	373	216
633	373	215
634	374	215
635	374	214
636	375	213
637	375	213
638	376	212
639	376	211
640	376	211
641	377	210
642	377	209
643	378	209
644	378	208
645	379	207
646	379	207
647	379	206
648	380	205
649	380	205
650	381	204
651	381	203
652	382	203
653	382	202
654	383	201
655	383	201
656	383	200
657	384	199
658	384	199
659	385	198
660	385	197
661	386	197
662	386	196
663	386	195
664	387	195
665	387	194
666	388	193
667	388	193
668	389	192
669	389	191
670	390	191
671	390	190
672	391	190
673	391	189
674	392	188
675	392	188
676	392	187
677	393	186
678	393	186
679	394	185
680	394	184
681	395	184
682	395	183
683	395	182
684	396	182
685	396	181
686	397	180
687	397	180
688	397	179
689	398	178
690	398	178
691	399	177
692	399	177
693	400	176
694	400	175
695	401	175
696	401	174
697	401	173
698	402	173
699	402	172
700	403	171
701	403	171
702	404	170
703	404	170
704	405	169
705	405	168
706	405	168
707	406	167
708	406	166
709	407	166
710	407	165
711	408	165
712	408	164
713	408	163
714	409	163
715	409	162
716	410	161
717	410	161
718	411	160
719	411	160
720	412	159
721	412	158
722	412	158
723	413	157
724	413	156
725	414	156
726	414	155
727	415	155
728	415	154
729	415	153
730	416	153
731	416	152
732	417	151
733	417	151
734	418	150
735	418	150
736	418	149
737	419	148
738	419	148
739	420	147
740	420	147
741	421	146
742	421	145
743	422	145
744	422	144
745	423	144
746	423	143
747	424	142
748	424	142
749	425	141
750	425	141
751	426	140
752	426	139
753	427	139
754	427	138
755	427	138
756	428	137
757	428	136
758	429	136
759	430	135
760	430	135
761	431	134
762	431	134
763	432	133
764	432	132
765	433	132
766	433	131
767	434	131
768	434	130
769	434	129
770	435	129
771	435	128
772	436	128
773	436	127
774	437	126
775	437	126
776	438	125
777	438	125
778	438	124
779	439	123
780	439	123
781	440	122
782	440	122
783	440	121
784	441	120
785	441	120
786	442	119
787	442	119
788	443	118
789	443	117
790	443	117
791	444	116
792	444	116
793	445	115
794	445	114
795	446	114
796	446	113
797	446	113
798	447	112
799	447	111
800	447	111
801	448	110
802	448	110
803	449	109
804	449	108
805	449	108
806	450	107
807	450	107
808	451	106
809	451	105
810	452	105
811	452	104
812	452	104
813	453	103
814	453	102
815	454	102
816	454	101
817	454	101
818	455	100
819	455	99
820	455	99
821	456	98
822	456	98
823	457	97
824	457	97
825	457	96
826	458	95
827	458	95
828	459	94
829	459	94
830	459	93
831	460	92
832	460	92
833	461	91
834	461	91
835	461	90
836	462	90
837	462	89
838	463	88
839	463	88
840	463	87
841	464	87
842	464	86
843	465	85
844	465	85
845	465	84
846	466	84
847	466	83
848	467	83
849	467	82
850	467	81
851	468	81
852	468	80
853	469	80
854	469	79
855	469	79
856	470	78
857	470	77
858	471	77
859	471	76
860	471	76
861	472	75
862	472	75
863	473	74
864	473	73
865	474	73
866	474	72
867	474	72
868	475	71
869	475	71
870	476	70
871	476	69
872	477	69
873	477	68
874	478	68
875	478	67
876	478	67
877	479	66
878	479	66
879	480	65
880	480	64
881	481	64
882	481	63
883	481	63
884	482	62
885	482	62
886	483	61
887	483	61
888	484	60
889	484	59
890	485	59
891	485	58
892	485	58
893	486	57
894	486	57
895	487	56
896	487	55
897	488	55
898	488	54
899	488	54
900	489	53
901	489	53
902	490	52
903	490	52
904	491	51
905	491	51
906	492	50
907	492	49
908	492	49
909	493	48
910	493	48
911	494	47
912	494	47
913	495	46
914	495	46
915	495	45
916	496	44
917	497	44
918	497	43
919	498	43
920	498	42
921	499	42
922	499	41
923	500	41
924	500	40
925	501	40
926	501	39
927	501	38
928	502	38
929	502	37
930	503	37
931	503	36
932	504	36
933	504	35
934	504	35
935	505	34
936	505	34
937	506	33
938	506	32
939	507	32
940	507	31
941	508	31
942	508	30
943	509	30
944	509	29
945	509	29
946	510	28
947	510	28
948	511	27
949	511	26
950	511	26
951	512	25
952	512	25
953	513	24
954	513	24
955	514	23
956	514	23
957	515	22
958	515	22
959	515	21
960	516	20
961	516	20
962	517	19
963	517	19
964	518	18
965	518	18
966	519	17
967	519	17
968	519	16
969	520	16
970	520	15
971	521	15
972	521	14
973	522	13
974	522	13
975	522	12
976	523	12
977	523	11
978	524	11
979	524	10
980	524	10
981	525	9
982	525	9
983	526	8
984	526	8
985	527	7
986	527	6
987	527	6
988	528	5
989	528	5
990	529	4
991	529	4
992	530	3
993	530	3
994	531	2
995	531	2
996	532	1
997	532	1
998	532	0
999	533	0
